ACCIONA,141.900,143.800,141.100,28/05
ACERINOX,11.695,11.845,11.625,28/05
ACS,25.300,25.700,25.300,28/05
AENA,143.000,143.900,142.200,28/05
ALMIRALL,14.010,14.060,13.830,28/05
AMADEUS IT GROUP,62.000,62.380,60.640,28/05
ARCELORMITTAL,26.450,26.830,26.400,28/05
BANCO SABADELL,0.631,0.681,0.626,28/05
BANKINTER,4.680,4.745,4.647,28/05
BBVA,5.126,5.200,5.090,28/05
CAIXABANK,2.841,2.853,2.810,28/05
CELLNEX TELECOM,49.810,50.000,49.250,28/05
CIE AUTOMOTIVE,24.560,24.900,24.560,28/05
COLONIAL,9.115,9.220,9.050,28/05
ENAGAS,19.270,19.445,19.215,28/05
ENDESA,23.650,23.740,23.480,28/05
FERROVIAL,23.970,24.160,23.930,28/05
FLUIDRA,32.600,33.600,32.450,28/05
GRIFOLS,22.850,23.110,22.700,28/05
IAG,2.360,2.380,2.331,28/05
IBERDROLA,11.305,11.365,11.250,28/05
INDITEX,31.920,31.970,31.300,28/05
INDRA,7.150,7.280,7.140,28/05
MAPFRE,1.878,1.885,1.847,28/05
MELIÁ HOTELS,6.884,7.094,6.836,28/05
MERLIN PROP,9.462,9.578,9.290,28/05
NATURGY,21.470,21.670,21.470,28/05
PHARMA MAR,76.540,77.300,74.720,28/05
RED ELÉCTRICA,16.420,16.485,16.295,28/05
REPSOL,10.964,11.096,10.886,28/05
SANTANDER,3.451,3.490,3.417,28/05
SIEMENS GAMESA,27.110,27.120,26.590,28/05
SOLARIA,15.455,15.960,15.220,28/05
TELEFÓNICA,4.032,4.092,4.030,28/05
VISCOFAN,57.850,58.200,57.800,28/05
ACCIONA,141.900,143.800,141.100,28/05
ACERINOX,11.695,11.845,11.625,28/05
ACS,25.300,25.700,25.300,28/05
AENA,143.000,143.900,142.200,28/05
ALMIRALL,14.010,14.060,13.830,28/05
AMADEUS IT GROUP,62.000,62.380,60.640,28/05
ARCELORMITTAL,26.450,26.830,26.400,28/05
BANCO SABADELL,0.631,0.681,0.626,28/05
BANKINTER,4.680,4.745,4.647,28/05
BBVA,5.126,5.200,5.090,28/05
CAIXABANK,2.841,2.853,2.810,28/05
CELLNEX TELECOM,49.810,50.000,49.250,28/05
CIE AUTOMOTIVE,24.560,24.900,24.560,28/05
COLONIAL,9.115,9.220,9.050,28/05
ENAGAS,19.270,19.445,19.215,28/05
ENDESA,23.650,23.740,23.480,28/05
FERROVIAL,23.970,24.160,23.930,28/05
FLUIDRA,32.600,33.600,32.450,28/05
GRIFOLS,22.850,23.110,22.700,28/05
IAG,2.360,2.380,2.331,28/05
IBERDROLA,11.305,11.365,11.250,28/05
INDITEX,31.920,31.970,31.300,28/05
INDRA,7.150,7.280,7.140,28/05
MAPFRE,1.878,1.885,1.847,28/05
MELIÁ HOTELS,6.884,7.094,6.836,28/05
MERLIN PROP,9.462,9.578,9.290,28/05
NATURGY,21.470,21.670,21.470,28/05
PHARMA MAR,76.540,77.300,74.720,28/05
RED ELÉCTRICA,16.420,16.485,16.295,28/05
REPSOL,10.964,11.096,10.886,28/05
SANTANDER,3.451,3.490,3.417,28/05
SIEMENS GAMESA,27.110,27.120,26.590,28/05
SOLARIA,15.455,15.960,15.220,28/05
TELEFÓNICA,4.032,4.092,4.030,28/05
VISCOFAN,57.850,58.200,57.800,28/05
ACCIONA,141.900,143.800,141.100,28/05
ACERINOX,11.695,11.845,11.625,28/05
ACS,25.300,25.700,25.300,28/05
AENA,143.000,143.900,142.200,28/05
ALMIRALL,14.010,14.060,13.830,28/05
AMADEUS IT GROUP,62.000,62.380,60.640,28/05
ARCELORMITTAL,26.450,26.830,26.400,28/05
BANCO SABADELL,0.631,0.681,0.626,28/05
BANKINTER,4.680,4.745,4.647,28/05
BBVA,5.126,5.200,5.090,28/05
CAIXABANK,2.841,2.853,2.810,28/05
CELLNEX TELECOM,49.810,50.000,49.250,28/05
CIE AUTOMOTIVE,24.560,24.900,24.560,28/05
COLONIAL,9.115,9.220,9.050,28/05
ENAGAS,19.270,19.445,19.215,28/05
ENDESA,23.650,23.740,23.480,28/05
FERROVIAL,23.970,24.160,23.930,28/05
FLUIDRA,32.600,33.600,32.450,28/05
GRIFOLS,22.850,23.110,22.700,28/05
IAG,2.360,2.380,2.331,28/05
IBERDROLA,11.305,11.365,11.250,28/05
INDITEX,31.920,31.970,31.300,28/05
INDRA,7.150,7.280,7.140,28/05
MAPFRE,1.878,1.885,1.847,28/05
MELIÁ HOTELS,6.884,7.094,6.836,28/05
MERLIN PROP,9.462,9.578,9.290,28/05
NATURGY,21.470,21.670,21.470,28/05
PHARMA MAR,76.540,77.300,74.720,28/05
RED ELÉCTRICA,16.420,16.485,16.295,28/05
REPSOL,10.964,11.096,10.886,28/05
SANTANDER,3.451,3.490,3.417,28/05
SIEMENS GAMESA,27.110,27.120,26.590,28/05
SOLARIA,15.455,15.960,15.220,28/05
TELEFÓNICA,4.032,4.092,4.030,28/05
VISCOFAN,57.850,58.200,57.800,28/05
ACCIONA,141.900,143.800,141.100,28/05
ACERINOX,11.695,11.845,11.625,28/05
ACS,25.300,25.700,25.300,28/05
AENA,143.000,143.900,142.200,28/05
ALMIRALL,14.010,14.060,13.830,28/05
AMADEUS IT GROUP,62.000,62.380,60.640,28/05
ARCELORMITTAL,26.450,26.830,26.400,28/05
BANCO SABADELL,0.631,0.681,0.626,28/05
BANKINTER,4.680,4.745,4.647,28/05
BBVA,5.126,5.200,5.090,28/05
CAIXABANK,2.841,2.853,2.810,28/05
CELLNEX TELECOM,49.810,50.000,49.250,28/05
CIE AUTOMOTIVE,24.560,24.900,24.560,28/05
COLONIAL,9.115,9.220,9.050,28/05
ENAGAS,19.270,19.445,19.215,28/05
ENDESA,23.650,23.740,23.480,28/05
FERROVIAL,23.970,24.160,23.930,28/05
FLUIDRA,32.600,33.600,32.450,28/05
GRIFOLS,22.850,23.110,22.700,28/05
IAG,2.360,2.380,2.331,28/05
IBERDROLA,11.305,11.365,11.250,28/05
INDITEX,31.920,31.970,31.300,28/05
INDRA,7.150,7.280,7.140,28/05
MAPFRE,1.878,1.885,1.847,28/05
MELIÁ HOTELS,6.884,7.094,6.836,28/05
MERLIN PROP,9.462,9.578,9.290,28/05
NATURGY,21.470,21.670,21.470,28/05
PHARMA MAR,76.540,77.300,74.720,28/05
RED ELÉCTRICA,16.420,16.485,16.295,28/05
REPSOL,10.964,11.096,10.886,28/05
SANTANDER,3.451,3.490,3.417,28/05
SIEMENS GAMESA,27.110,27.120,26.590,28/05
SOLARIA,15.455,15.960,15.220,28/05
TELEFÓNICA,4.032,4.092,4.030,28/05
VISCOFAN,57.850,58.200,57.800,28/05
